iter	Passed	Remaining
0	0	220
1	0	187
2	1	177
3	1	169
4	1	160
5	1	158
6	2	154
7	2	152
8	2	151
9	3	150
10	3	146
11	3	145
12	3	145
13	4	144
14	4	143
15	4	143
16	5	142
17	5	141
18	5	141
19	5	140
20	6	140
21	6	140
22	6	139
23	7	139
24	7	138
25	7	138
26	7	138
27	8	137
28	8	137
29	9	142
30	9	141
31	9	141
32	9	140
33	10	139
34	10	139
35	10	139
36	11	138
37	11	138
38	11	137
39	11	137
40	12	136
41	12	136
42	12	136
43	13	135
44	13	137
45	13	136
46	14	136
47	14	136
48	14	136
49	15	135
50	15	135
51	15	134
52	15	134
53	16	133
54	16	134
55	16	134
56	17	133
57	17	133
58	17	132
59	18	132
60	18	132
61	18	131
62	18	131
63	19	131
64	19	130
65	19	130
66	20	130
67	20	129
68	20	129
69	21	129
70	21	128
71	21	127
72	21	127
73	22	127
74	22	127
75	22	126
76	22	126
77	23	126
78	23	125
79	23	125
80	24	125
81	24	125
82	24	124
83	25	124
84	25	124
85	25	123
86	26	123
87	26	123
88	26	122
89	26	122
90	27	122
91	27	121
92	27	121
93	28	121
94	28	121
95	28	120
96	28	120
97	29	120
98	29	119
99	29	119
100	30	119
101	30	118
102	30	118
103	31	118
104	31	118
105	31	117
106	31	117
107	32	117
108	32	116
109	32	116
110	33	116
111	33	116
112	33	115
113	34	115
114	34	115
115	34	114
116	35	114
117	35	114
118	35	114
119	35	113
120	36	113
121	38	117
122	38	117
123	38	117
124	38	116
125	39	116
126	39	115
127	39	115
128	39	115
129	40	114
130	40	114
131	40	113
132	41	113
133	41	112
134	41	112
135	41	112
136	42	111
137	42	111
138	42	111
139	43	110
140	43	110
141	43	109
142	43	109
143	44	108
144	44	108
145	44	108
146	44	107
147	45	107
148	45	106
149	45	106
150	45	105
151	46	105
152	46	105
153	46	104
154	46	104
155	47	104
156	47	103
157	47	103
158	47	102
159	48	102
160	48	101
161	48	101
162	48	100
163	49	100
164	49	100
165	49	99
166	49	99
167	50	99
168	50	98
169	50	98
170	50	98
171	51	97
172	51	97
173	51	97
174	51	96
175	52	96
176	52	95
177	52	95
178	52	94
179	53	94
180	53	94
181	53	93
182	54	93
183	54	93
184	54	92
185	54	92
186	55	92
187	55	91
188	55	91
189	55	91
190	56	90
191	56	90
192	56	90
193	56	89
194	57	89
195	57	88
196	57	88
197	57	88
198	57	87
199	58	87
200	58	87
201	58	86
202	59	86
203	59	86
204	59	85
205	59	85
206	60	85
207	60	84
208	60	84
209	60	84
210	61	83
211	61	83
212	61	83
213	61	82
214	62	82
215	62	82
216	62	81
217	62	81
218	63	81
219	63	80
220	63	80
221	63	80
222	64	79
